"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
290,300,233.125,0.795021902090515,17.4338329172027
290,300,233.75,0.805903095833437,17.5893210784045
290,300,234.375,0.817098252833855,17.7468583426611
290,300,235,0.828619962961558,17.9065066901993
290,300,235.625,0.840481447699864,18.0683305010591
290,300,236.25,0.852696598387297,18.2323966736939
290,300,236.875,0.865280017178599,18.3987747506243
290,300,237.5,0.878247060947813,18.5675370516374
290,300,238.125,0.891613888376982,18.738758815066
290,300,238.75,0.90539751049639,18.9125183477217
290,300,239.375,0.919615844968117,19.0888971841056
290,300,240,0.93428777443206,19.267980255572
290,300,240.625,0.949433209264929,19.4498560701744
290,300,241.25,0.965073155136539,19.6346169039873
290,300,241.875,0.981229785786435,19.8223590047643
290,300,242.5,0.997926521485281,20.0131828088666
290,300,243.125,1.01518811369329,20.2071931724772
290,300,243.75,1.03304073647963,20.4044996182067
290,300,244.375,1.0515120853256,20.6052165982939
290,300,245,1.07063148399888,20.8094637757127
290,300,245.625,1.09043000025968,21.0173663246154
290,300,246.25,1.11094057123992,21.2290552516766
290,300,246.875,1.1321981394288,21.4446677400429
290,300,247.5,1.15423980029942,21.6643475177566
290,300,248.125,1.17710496272639,21.8882452526995
290,300,248.75,1.20083552347314,22.1165189762967
290,300,249.375,1.22547605717315,22.3493345384398
290,300,250,1.25107402339274,22.5868660963312
290,300,250.625,1.27767999254863,22.8292966402174
290,300,251.25,1.30534789266213,23.0768185592799
290,300,251.875,1.33413527916884,23.3296342512834
290,300,252.5,1.36410363027177,23.5879567799537
290,300,253.125,1.39531867063038,23.8520105844694
290,300,253.75,1.42785072652614,24.1220322459154
290,300,254.375,1.46177511604034,24.3982713160649
290,300,255,1.49717257823217,24.6809912144346
290,300,255.625,1.53412974582213,24.9704702002119
290,300,256.25,1.57273966647731,25.2670024263814
290,300,256.875,1.61310237847544,25.5708990842042
290,300,257.5,1.65532554730555,25.8824896471276
290,300,258.125,1.69952517066393,26.2021232242525
290,300,258.75,1.74582636034323,26.5301700346658
290,300,259.375,1.79436421071504,26.8670230152817
290,300,260,1.84528476490002,27.2130995763551
290,300,260.625,1.89874609133901,27.568843520546
290,300,261.25,1.95491948536306,27.9347271433722
290,300,261.875,2.01399081256038,28.311253535109
290,300,262.5,2.07616201331033,28.6989591067347
290,300,263.125,2.14165279087131,29.0984163654154
290,300,263.75,2.21070250895358,29.5102369683327
290,300,264.375,2.28357232888576,29.9350750874558
290,300,265,2.36054762141813,30.3736311222063
290,300,265.625,2.44194069405202,30.8266558019681
290,300,266.25,2.52809388172919,31.2949547261446
290,300,266.875,2.61938305698804,31.7793933960976
290,300,267.5,2.71622162558048,32.2809028009558
290,300,268.125,2.81906508539182,32.800485628124
290,300,268.75,2.92841624075377,33.3392231795636
290,300,269.375,3.04483118142784,33.8982830867776
290,300,270,3.16892615633993,34.4789279312005
290,300,270.625,3.30138549741625,35.0825248926781
290,300,271.25,3.44297077967571,35.7105565673072
290,300,271.875,3.59453144142703,36.364633117513
290,300,272.5,3.75701713472053,37.0465059423827
290,300,273.125,3.93149213330738,37.7580830855068
290,300,273.75,4.11915219607616,38.5014466315569
290,300,274.375,4.32134437188802,39.278872382247
290,300,275,4.5395903416058,40.0928521479566
290,300,275.625,4.77561403100191,40.9461190439027
290,300,276.25,5.0313744021024,41.8416762400696
290,300,276.875,5.30910455084617,42.7828296826826
290,300,277.5,5.6113585195353,43.7732253820523
290,300,278.125,5.94106759178752,44.8168919465861
290,300,278.75,6.30160830009635,45.9182891339085
290,300,279.375,6.69688497458814,47.0823632834348
290,300,280,7.13143044061041,48.3146105828905
290,300,280.625,7.61052949277523,49.6211491907101
290,300,281.25,8.14037111646733,51.0088012637752
290,300,281.875,8.72823720776457,52.4851858864268
290,300,282.5,9.38273791526543,54.0588236969983
290,300,283.125,10.1141069086201,55.7392535546542
290,300,283.75,10.9345741689535,57.53716070484
290,300,284.375,11.8588397140239,59.4645142942566
290,300,285,12.9046795979201,61.5347092740885
290,300,285.625,14.0937263686541,63.7627029148829
290,300,286.25,15.4524810368028,66.1651280082529
290,300,286.875,17.0136340023237,68.7603511215423
290,300,287.5,18.8178002576506,71.5684212448081
290,300,288.125,20.915811907681,74.610815449317
