"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
320,322.5,161.875,0.315961945221494,3.81591462298839
320,322.5,162.5,0.317161682321134,3.89796700763904
320,322.5,163.125,0.318369812536178,3.97993526764498
320,322.5,163.75,0.319586472987938,4.06182362550423
320,322.5,164.375,0.320811802832907,4.1436362892257
320,322.5,165,0.322045943329938,4.22537745354651
320,322.5,165.625,0.323289037908937,4.30705130114348
320,322.5,166.25,0.324541232241134,4.38866200383971
320,322.5,166.875,0.325802674311026,4.47021372380666
320,322.5,167.5,0.327073514489969,4.55171061476279
320,322.5,168.125,0.328353905611572,4.63315682316925
320,322.5,168.75,0.329644003048991,4.71455648942348
320,322.5,169.375,0.330943964794018,4.79591374905137
320,322.5,170,0.332253951538291,4.87723273389877
320,322.5,170.625,0.333574126756485,4.958517573323
320,322.5,171.25,0.334904656791699,5.03977239538511
320,322.5,171.875,0.336245710943054,5.12100132804369
320,322.5,172.5,0.337597461555594,5.20220850035084
320,322.5,173.125,0.338960084112645,5.2833980436511
320,322.5,173.75,0.340333757330604,5.3645740927841
320,322.5,174.375,0.341718663256347,5.44574078729163
320,322.5,175,0.343114987367327,5.52690227262982
320,322.5,175.625,0.344522918674468,5.6080627013874
320,322.5,176.25,0.345942649827876,5.68922623451047
320,322.5,176.875,0.347374377225657,5.77039704253492
320,322.5,177.5,0.348818301125785,5.85157930682696
320,322.5,178.125,0.350274625761169,5.93277722083272
320,322.5,178.75,0.351743559458136,6.01399499133772
320,322.5,179.375,0.353225314758298,6.09523683973696
320,322.5,180,0.354720108544109,6.17650700331642
320,322.5,180.625,0.356228162168072,6.257809736547
320,322.5,181.25,0.35774970158588,6.33914931239146
320,322.5,181.875,0.359284957493496,6.42053002362552
320,322.5,182.5,0.360834165468479,6.50195618417372
320,322.5,183.125,0.362397566115587,6.58343213046129
320,322.5,183.75,0.36397540521685,6.66496222278252
320,322.5,184.375,0.3655679338863,6.74655084668694
320,322.5,185,0.367175408729523,6.82820241438412
320,322.5,185.625,0.36879809200822,6.909921366168
320,322.5,186.25,0.37043625180992,6.99171217186187
320,322.5,186.875,0.372090162223129,7.07357933228502
320,322.5,187.5,0.373760103518012,7.15552738074203
320,322.5,188.125,0.375446362332913,7.23756088453585
320,322.5,188.75,0.377149231866841,7.31968444650578
320,322.5,189.375,0.378869012078261,7.40190270659146
320,322.5,190,0.380606009890301,7.48422034342403
320,322.5,190.625,0.382360539402749,7.56664207594574
320,322.5,191.25,0.384132922110964,7.6491726650591
320,322.5,191.875,0.385923487132115,7.73181691530705
320,322.5,192.5,0.387732571438852,7.81457967658525
320,322.5,193.125,0.389560520100923,7.89746584588798
320,322.5,193.75,0.391407686534796,7.980480369089
320,322.5,194.375,0.393274432761794,8.06362824275876
320,322.5,195,0.395161129674939,8.14691451601961
320,322.5,195.625,0.397068157314973,8.2303442924402
320,322.5,196.25,0.398995905155756,8.31392273197111
320,322.5,196.875,0.400944772399579,8.39765505292285
320,322.5,197.5,0.402915168282661,8.48154653398841
320,322.5,198.125,0.40490751239128,8.56560251631157
320,322.5,198.75,0.406922234988936,8.64982840560332
320,322.5,199.375,0.40895977735506,8.73422967430778
320,322.5,200,0.411020592135602,8.8188118638199
320,322.5,200.625,0.413105143706103,8.90358058675668
320,322.5,201.25,0.415213908547695,8.98854152928417
320,322.5,201.875,0.4173473756365,9.07370045350229
320,322.5,202.5,0.419506046847124,9.15906319988975
320,322.5,203.125,0.421690437370616,9.24463568981127
320,322.5,203.75,0.42390107614772,9.33042392808965
320,322.5,204.375,0.426138506317782,9.41643400564507
320,322.5,205,0.428403285684263,9.50267210220418
320,322.5,205.625,0.430695987197207,9.58914448908173
