"Freq [GHz]","ang_deg(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='285GHz'","mag(Z(1,1)) [] - ResFreq='330GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='320GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='310GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='300GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='290GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='270GHz' ResFreq2='322.5GHz'","mag(Z(1,1)) [] - ResFreq='330GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='320GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='310GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='300GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='290GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='270GHz' ResFreq2='300GHz'","mag(Z(1,1)) [] - ResFreq='330GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='320GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='310GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='300GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='290GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='270GHz' ResFreq2='282.5GHz'","mag(Z(1,1)) [] - ResFreq='290GHz' ResFreq2='285GHz'","mag(Z(1,1)) [] - ResFreq='285GHz' ResFreq2='285GHz'","mag(Z(1,1)) [] - ResFreq='280GHz' ResFreq2='285GHz'","mag(Z(1,1)) [] - ResFreq='275GHz' ResFreq2='285GHz'"
201.25,1.52847777118053,8.39317086597837,8.99812655020575,9.81111047984059,10.3589893467694,11.6475371201071,12.9129825836286,14.1983703988549,8.45561761600725,9.26647215096044,10.0273159746242,10.3562787456097,11.2721278005334,12.8464759155353,13.94642272542,8.63173366908001,9.35706749490036,9.8721296108338,10.5353417095274,11.2857174094086,12.8602489036296,14.1220055335283,11.412260831721,12.0011456284077,12.9227116086526,13.4774419911873
201.875,1.52849423279357,8.47585931694678,9.08329338686351,9.8999776466856,10.4520126819307,11.7482109681713,13.0236787711499,14.3233121886489,8.53852344295273,9.35238797071418,10.1168284965882,10.4492566304193,11.371794757375,12.9569563323308,14.0712925451234,8.71514175864436,9.44326186973857,9.9611807798472,10.628820580117,11.3853454591131,12.9706756220122,14.2459903289211,11.5122667794467,12.1055787286152,13.0332903194526,13.5941769036913
202.5,1.52850614661357,8.55868569968288,9.16866533487378,9.98912725264709,10.5454288373449,11.8494228548152,13.1351457166378,14.4494091652641,8.62156159535742,9.43849954014407,10.2066204553131,10.5426269607896,11.4720093703027,13.0682099039032,14.1973463911533,8.79868402301441,9.5296497776494,10.0505132186804,10.7226873495487,11.4855226200451,13.0818752812816,14.3711084795147,11.6128133495613,12.2106596207639,13.1446403966437,13.7118476342992
203.125,1.52851348438019,8.64165477766591,9.25424831427718,10.0785666500152,10.6392475478711,11.951186070236,13.247403157055,14.5766934399573,8.70473676503809,9.52481260430007,10.2966991817491,10.6363995008955,11.5727851700601,13.1802564404286,14.3246173718984,8.88236516509554,9.61623692727192,10.1401342835818,10.8169516684142,11.5862624357557,13.1938676342396,14.4973912574811,11.7139139004534,12.3164044979979,13.2567815619661,13.8304789416043
203.75,1.5285162145507,8.72477136826956,9.34004832965157,10.1683033147813,10.7334787429914,12.0535142158353,13.3604713743931,14.7051981775824,8.78805369439152,9.61133298687461,10.3870721295284,10.7305842107944,11.6741360061887,13.2931162986991,14.4531396941718,8.96618993796958,9.70302910524414,10.2300514528608,10.9116233800382,11.6875787675571,13.3066729765887,14.6248709495871,11.8155821046224,12.4228299642491,13.369734078884,13.9500963247841
204.375,1.52851430225274,8.80804034450106,9.42607147274174,10.2583448505352,10.8281325531347,12.1564212149571,13.4743712164107,14.8349576422572,8.87151717803699,9.69806659265133,10.4777468787975,10.8251912527697,11.776076058092,13.4068104029363,14.5829487112481,9.05016314656083,9.79003217863213,10.3202723307194,11.0067125267079,11.7894858055789,13.4203121676325,14.7535809008745,11.9178319595367,12.5299530491321,13.4835187732235,14.0707260535441
205,1.52850770923151,8.89146663678248,9.51232392516122,10.3486989924818,10.9232193162171,12.2599213240431,13.5891241182903,14.9660072453868,8.95513206449751,9.78501941001918,10.5687311401664,10.9202309978916,11.8786198465311,13.5213602665275,14.7140809734015,9.13428964934118,9.87725209742335,10.4108046512012,11.1022293561155,11.891998080254,13.5348066518914,14.8835555605722,12.0206777989149,12.6377912234577,13.598157054724,14.1923951994836
205.625,1.5284963937911,8.97505523477546,9.59881196116865,10.4393736115813,11.0187495844105,12.3640291442232,13.7047521252628,15.0983835961843,9.03890325792113,9.87219751355449,10.6600327587784,11.0157140328074,11.9817822455729,13.6367880147339,14.8465742810995,9.21857436007554,9.96469489708691,10.5016562822612,11.1981843280242,11.9951304742572,13.6501784816827,15.0148305303737,12.1241343044475,12.7463624153931,13.7136709395502,14.3151316689663
206.25,1.5284803107301,9.05881118925083,9.68554195052132,10.5303767188187,11.1147341311472,12.4687596333629,13.8212779162507,15.2321245548434,9.12283571984346,9.95960706667311,10.751659718507,11.1116511667693,12.0855784950109,13.7531164084223,14.9804677410163,9.30302224960897,10.0523667012028,10.5928352299623,11.2945881211666,12.0988982349152,13.7664503407152,15.1474426152269,12.2282165179826,12.8556850273038,13.8300830738156,14.4389642375788
206.875,1.52845941127098,9.14273961400473,9.7725203614091,10.6217164696066,11.2111839583723,12.5741281185884,13.9387248285851,15.367269288528,9.20693447099307,10.0472543243556,10.8436201462835,11.2080534389119,12.1900242132833,13.8703688688748,15.1158018250426,9.38763834769692,10.1402737241629,10.6843496428019,11.3914516403862,12.2033169871123,13.8836455687549,15.2814298767867,12.3329398541954,12.9657779533092,13.9474167581726,14.5639225862712
