"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","dB(S(1,1)) []"
270,282.5,324.375,-0.518423137023248
270,282.5,325,-0.509593300961104
270,282.5,325.625,-0.501083973991222
270,282.5,326.25,-0.492880079985188
270,282.5,326.875,-0.484967377714153
270,282.5,327.5,-0.477332407655067
270,282.5,328.125,-0.46996244256331
270,282.5,328.75,-0.462845441533529
270,282.5,329.375,-0.455970007292263
270,282.5,330,-0.44932534648589
270,282.5,330.625,-0.442901232746371
270,282.5,331.25,-0.43668797233446
270,282.5,331.875,-0.430676372176468
270,282.5,332.5,-0.424857710125523
270,282.5,333.125,-0.419223707292371
270,282.5,333.75,-0.413766502303708
270,282.5,334.375,-0.408478627358236
270,282.5,335,-0.403352985961923
270,282.5,335.625,-0.398382832234496
270,282.5,336.25,-0.393561751689342
270,282.5,336.875,-0.388883643398111
270,282.5,337.5,-0.384342703460483
270,282.5,338.125,-0.379933409707762
270,282.5,338.75,-0.375650507577317
270,282.5,339.375,-0.371488997102489
270,282.5,340,-0.367444120970369
270,282.5,340.625,-0.363511353607219
270,282.5,341.25,-0.359686391258708
270,282.5,341.875,-0.355965143039638
270,282.5,342.5,-0.352343722935185
270,282.5,343.125,-0.348818442743444
270,282.5,343.75,-0.34538580595692
270,282.5,344.375,-0.34204250258888
270,282.5,345,-0.338785404959146
270,282.5,345.625,-0.335611564463162
270,282.5,346.25,-0.332518209358046
270,282.5,346.875,-0.329502743609943
270,282.5,347.5,-0.326562746858587
270,282.5,348.125,-0.323695975567466
270,282.5,348.75,-0.320900365441695
270,282.5,349.375,-0.318174035210622
270,282.5,350,-0.315515291888552
270,282.5,350.625,-0.312922637644778
270,282.5,351.25,-0.310394778433509
270,282.5,351.875,-0.307930634555335
270,282.5,352.5,-0.305529353344517
270,282.5,353.125,-0.303190324200467
270,282.5,353.75,-0.300913196207337
270,282.5,354.375,-0.298697898611837
270,282.5,355,-0.29654466445603
270,282.5,355.625,-0.294454057687674
270,282.5,356.25,-0.292427004094309
270,282.5,356.875,-0.290464826426904
270,282.5,357.5,-0.288569284091397
270,282.5,358.125,-0.286742617788402
270,282.5,358.75,-0.28498759946731
270,282.5,359.375,-0.283307587924497
270,282.5,360,-0.281706590307179
270,282.5,360.625,-0.280189329673377
270,282.5,361.25,-0.278761318589561
270,282.5,361.875,-0.277428938502509
270,282.5,362.5,-0.276199524277697
270,282.5,363.125,-0.275081452825385
270,282.5,363.75,-0.274084234104803
270,282.5,364.375,-0.273218601968586
270,282.5,365,-0.27249660124307
270,282.5,365.625,-0.27193166609351
270,282.5,366.25,-0.271538683058891
270,282.5,366.875,-0.271334030134293
270,282.5,367.5,-0.271335580929081
270,282.5,368.125,-0.271562660279789
270,282.5,368.75,-0.272035934857975
270,282.5,369.375,-0.27277721949475
270,282.5,370,-0.273809177490189
270,282.5,370.625,-0.275154891604884
270,282.5,371.25,-0.27683728246205
270,282.5,371.875,-0.278878353648963
270,282.5,372.5,-0.281298248989943
270,282.5,373.125,-0.284114118415944
270,282.5,373.75,-0.287338805554613
270,282.5,374.375,-0.290979393075419
270,282.5,375,-0.295035670442383
270,300,125,-0.0991898402865446
270,300,125.625,-0.099622482946871
270,300,126.25,-0.100055785418119
270,300,126.875,-0.100489831459239
270,300,127.5,-0.100924704665161
270,300,128.125,-0.101360488516259
270,300,128.75,-0.101797266427524
270,300,129.375,-0.102235121797486
270,300,130,-0.102674138056984
270,300,130.625,-0.10311439871778
270,300,131.25,-0.103555987421113
270,300,131.875,-0.103998987986213
270,300,132.5,-0.104443484458864
270,300,133.125,-0.104889561160012
270,300,133.75,-0.105337302734528
270,300,134.375,-0.105786794200126
270,300,135,-0.106238120996535
270,300,135.625,-0.106691369034942
270,300,136.25,-0.107146624747754
270,300,136.875,-0.107603975138773
270,300,137.5,-0.108063507833783
270,300,138.125,-0.108525311131656
270,300,138.75,-0.108989474055967
270,300,139.375,-0.109456086407254
270,300,140,-0.109925238815887
270,300,140.625,-0.110397022795685
270,300,141.25,-0.110871530798278
270,300,141.875,-0.111348856268309
270,300,142.5,-0.111829093699533
270,300,143.125,-0.11231233869183
270,300,143.75,-0.11279868800926
270,300,144.375,-0.113288239639184
270,300,145,-0.113781092852523
270,300,145.625,-0.11427734826522
270,300,146.25,-0.114777107900985
270,300,146.875,-0.115280475255383
270,300,147.5,-0.115787555361349
270,300,148.125,-0.116298454856194
270,300,148.75,-0.116813282050181
270,300,149.375,-0.11733214699676
270,300,150,-0.11785516156456
270,300,150.625,-0.118382439511153
270,300,151.25,-0.118914096558785
270,300,151.875,-0.119450250472088
270,300,152.5,-0.119991021137876
270,300,153.125,-0.120536530647178
270,300,153.75,-0.121086903379533
270,300,154.375,-0.121642266089717
270,300,155,-0.122202747996974
270,300,155.625,-0.122768480876899
270,300,156.25,-0.12333959915605
270,300,156.875,-0.123916240009462
270,300,157.5,-0.124498543461132
270,300,158.125,-0.125086652487701
270,300,158.75,-0.125680713125356
270,300,159.375,-0.126280874580212
270,300,160,-0.126887289342243
270,300,160.625,-0.127500113302967
270,300,161.25,-0.12811950587704
270,300,161.875,-0.128745630127923
270,300,162.5,-0.129378652897823
270,300,163.125,-0.130018744942071
270,300,163.75,-0.130666081068156
270,300,164.375,-0.131320840279625
270,300,165,-0.131983205925047
270,300,165.625,-0.132653365852277
270,300,166.25,-0.133331512568259
270,300,166.875,-0.134017843404621
270,300,167.5,-0.134712560689311
270,300,168.125,-0.135415871924545
270,300,168.75,-0.136127989971379
270,300,169.375,-0.136849133241163
270,300,170,-0.137579525894224
270,300,170.625,-0.138319398046095
270,300,171.25,-0.139068985981654
270,300,171.875,-0.139828532377468
270,300,172.5,-0.140598286532837
270,300,173.125,-0.141378504609838
270,300,173.75,-0.142169449882831
270,300,174.375,-0.142971392997865
270,300,175,-0.143784612242459
270,300,175.625,-0.14460939382621
270,300,176.25,-0.14544603217279
270,300,176.875,-0.146294830223844
270,300,177.5,-0.147156099755332
270,300,178.125,-0.148030161706994
270,300,178.75,-0.14891734652547
270,300,179.375,-0.149817994521813
270,300,180,-0.150732456244056
270,300,180.625,-0.151661092865596
270,300,181.25,-0.152604276590126
270,300,181.875,-0.153562391074011
270,300,182.5,-0.154535831866895
270,300,183.125,-0.155525006871494
270,300,183.75,-0.156530336823536
270,300,184.375,-0.157552255792849
270,300,185,-0.158591211706693
270,300,185.625,-0.159647666896448
270,300,186.25,-0.160722098668868
270,300,186.875,-0.161814999903187
270,300,187.5,-0.162926879675384
270,300,188.125,-0.164058263911051
270,300,188.75,-0.16520969606837
270,300,189.375,-0.166381737852748
270,300,190,-0.167574969964875
270,300,190.625,-0.168789992883891
270,300,191.25,-0.170027427687622
270,300,191.875,-0.171287916911868
270,300,192.5,-0.172572125450863
270,300,193.125,-0.173880741501169
270,300,193.75,-0.175214477551379
270,300,194.375,-0.176574071420213
270,300,195,-0.177960287345632
270,300,195.625,-0.179373917127915
270,300,196.25,-0.180815781329672
270,300,196.875,-0.182286730536078
270,300,197.5,-0.183787646678762
270,300,198.125,-0.18531944442696
270,300,198.75,-0.186883072649937
270,300,199.375,-0.188479515954697
270,300,200,-0.190109796303513
270,300,200.625,-0.191774974715907
270,300,201.25,-0.193476153060135
270,300,201.875,-0.19521447593953
270,300,202.5,-0.196991132679378
270,300,203.125,-0.198807359420477
270,300,203.75,-0.200664441325809
270,300,204.375,-0.202563714907333
270,300,205,-0.204506570480289
270,300,205.625,-0.206494454752944
270,300,206.25,-0.208528873560275
270,300,206.875,-0.210611394750664
270,300,207.5,-0.212743651235295
270,300,208.125,-0.21492734421067
270,300,208.75,-0.217164246565378
270,300,209.375,-0.219456206483055
270,300,210,-0.221805151254311
270,300,210.625,-0.224213091311367
