"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
290,300,226.25,1.52708360519646,15.8582205565079
290,300,226.875,1.52694988321698,15.9948979475108
290,300,227.5,1.52680960266422,16.1330809633769
290,300,228.125,1.52666261857091,16.2728117391841
290,300,228.75,1.52650877921328,16.4141338798933
290,300,229.375,1.52634792582937,16.5570925265559
290,300,230,1.52617989232057,16.7017344261008
290,300,230.625,1.52600450493514,16.8481080049298
290,300,231.25,1.52582158193288,16.9962634465658
290,300,231.875,1.52563093322945,17.1462527736164
290,300,232.5,1.52543236001929,17.2981299343359
290,300,233.125,1.52522565437555,17.4519508940904
290,300,233.75,1.52501059882559,17.6077737320502
290,300,234.375,1.52478696590044,17.7656587434652
290,300,235,1.52455451765645,17.9256685479
290,300,235.625,1.52431300516717,18.0878682038384
290,300,236.25,1.52406216798345,18.2523253301005
290,300,236.875,1.52380173355955,18.4191102345455
290,300,237.5,1.52353141664281,18.5882960505796
290,300,238.125,1.52325091862433,18.7599588820221
290,300,238.75,1.52295992684772,18.934177956936
290,300,239.375,1.522658113873,19.1110357910729
290,300,240,1.52234513669225,19.2906183616432
290,300,240.625,1.52202063589335,19.4730152921769
290,300,241.25,1.52168423476802,19.6583200493102
290,300,241.875,1.52133553835969,19.8466301524031
290,300,242.5,1.52097413244677,20.0380473969745
290,300,243.125,1.52059958245607,20.2326780930255
290,300,243.75,1.52021143230091,20.4306333194207
290,300,244.375,1.51980920313795,20.6320291956025
290,300,245,1.51939239203595,20.8369871720272
290,300,245.625,1.51896047054948,21.0456343408447
290,300,246.25,1.51851288318951,21.2581037684824
290,300,246.875,1.51804904578229,21.4745348519534
290,300,247.5,1.51756834370696,21.6950737008824
290,300,248.125,1.5170701300016,21.9198735474363
290,300,248.75,1.51655372332606,22.1490951865607
290,300,249.375,1.51601840576909,22.3829074491631
290,300,250,1.51546342048577,22.6214877111477
290,300,250.625,1.51488796915001,22.8650224415023
290,300,251.25,1.51429120920501,23.11370779297
290,300,251.875,1.51367225089311,23.3677502392031
290,300,252.5,1.51303015404416,23.6273672627122
290,300,253.125,1.51236392459954,23.8927880983834
290,300,253.75,1.5116725108461,24.1642545378546
290,300,254.375,1.51095479933192,24.4420218006243
290,300,255,1.5102096104321,24.7263594784192
290,300,255.625,1.50943569352946,25.0175525600864
290,300,256.25,1.50863172177087,25.3159025451054
290,300,256.875,1.50779628635529,25.621728654757
290,300,257.5,1.50692789030438,25.9353691510498
290,300,258.125,1.50602494166045,26.257182774712
290,300,258.75,1.50508574604996,26.5875503149265
290,300,259.375,1.50410849854283,26.9268763250469
290,300,260,1.50309127472904,27.2755910003099
290,300,260.625,1.50203202092391,27.6341522355893
290,300,261.25,1.50092854340189,28.0030478835592
290,300,261.875,1.49977849654512,28.3827982362962
290,300,262.5,1.49857936977792,28.7739587564093
290,300,263.125,1.49732847314057,29.1771230873046
290,300,263.75,1.49602292133501,29.5929263762516
290,300,264.375,1.49465961605166,30.0220489486122
290,300,265,1.49323522635861,30.4652203770273
290,300,265.625,1.49174616690236,30.9232239956684
290,300,266.25,1.49018857363164,31.3969019170089
290,300,266.875,1.48855827671186,31.8871606171382
290,300,267.5,1.48685077024575,32.3949771656661
290,300,268.125,1.48506117835517,32.9214061880176
290,300,268.75,1.48318421710681,33.4675876617342
290,300,269.375,1.48121415167937,34.0347556646835
290,300,270,1.4791447480687,34.6242482123331
290,300,270.625,1.47696921850626,35.2375183440595
290,300,271.25,1.4746801596223,35.8761466455993
290,300,271.875,1.47226948221157,36.5418554270953
290,300,272.5,1.46972833125099,37.2365248148855
290,300,273.125,1.46704699456605,37.9622110616109
290,300,273.75,1.46421479823721,38.7211674351002
290,300,274.375,1.46121998646414,39.5158681139779
290,300,275,1.45804958315015,40.3490355997204
290,300,275.625,1.45468923190835,41.2236722543074
290,300,276.25,1.45112301050043,42.1430966939182
290,300,276.875,1.44733321486185,43.1109859176201
290,300,277.5,1.44330010680036,44.13142423243
290,300,278.125,1.43900161811959,45.2089602610164
290,300,278.75,1.43441300223973,46.3486735964802
290,300,279.375,1.42950642226343,47.5562530138382
290,300,280,1.42425046173485,48.8380885775192
290,300,280.625,1.41860954088705,50.2013805205306
290,300,281.25,1.412543216733,51.6542684420284
290,300,281.875,1.40600533961169,53.2059852111374
290,300,282.5,1.39894303132547,54.867041019994
290,300,283.125,1.39129544021481,56.6494443519883
290,300,283.75,1.38299221561762,58.5669682861502
290,300,284.375,1.37395162705739,60.6354726180538
290,300,285,1.36407823069357,62.8732948156176
290,300,285.625,1.35325995496881,65.3017259034255
290,300,286.25,1.34136443613405,67.9455909867686
290,300,286.875,1.32823437848245,70.8339581579542
290,300,287.5,1.31368163831979,74.0010035473245
290,300,288.125,1.29747962780537,77.4870632413536
290,300,288.75,1.27935349569296,81.3399023701249
290,300,289.375,1.25896735597278,85.6162229937533
290,300,290,1.23590759229444,90.3834055435105
290,300,290.625,1.20966096283836,95.7214135281852
290,300,291.25,1.17958588868189,101.724648406403
290,300,291.875,1.14487501811618,108.50324349632
290,300,292.5,1.10450717809299,116.182684136149
290,300,293.125,1.05718780670113,124.899462538625
290,300,293.75,1.0012804421916,134.78825527055
290,300,294.375,0.934741166093992,145.952202138047
290,300,295,0.855089582867873,158.401891251889
290,300,295.625,0.759494093193958,171.942562033264
290,300,296.25,0.64512221025184,185.993189459402
290,300,296.875,0.509976189435471,199.364959828896
290,300,297.5,0.3543478965133,210.152482711156
290,300,298.125,0.182491960181208,216.054283145476
290,300,298.75,0.00317407990867224,215.319024020985
290,300,299.375,-0.172319356202109,207.803689011382
290,300,300,-0.334004718465988,195.113074280373
290,300,300.625,-0.476044136234885,179.645190268176
290,300,301.25,-0.596963530079484,163.50982482156
290,300,301.875,-0.698170522016767,148.060511819263
290,300,302.5,-0.78233827048147,133.958050093771
290,300,303.125,-0.852364401193312,121.411397586482
290,300,303.75,-0.910889428481218,110.389450049456
290,300,304.375,-0.960152604295274,100.755084556409
290,300,305,-1.00200027361222,92.3363062680898
290,300,305.625,-1.03793266711419,84.9592333366141
290,300,306.25,-1.06913059984863,78.4624167592399
290,300,306.875,-1.09646360297983,72.7046075410645
290,300,307.5,-1.12053005556018,67.5695671527102
290,300,308.125,-1.14175107951491,62.9657864666627
290,300,308.75,-1.16046703451576,58.8211355743979
290,300,309.375,-1.17698642543844,55.076569616905
290,300,310,-1.1915929810927,51.6819562234442
290,300,310.625,-1.20453928797847,48.5940256122881
290,300,311.25,-1.21604291662782,45.7753551082564
290,300,311.875,-1.22628748919305,43.1936640453678
290,300,312.5,-1.23542657171579,40.8211698802079
290,300,313.125,-1.24358835798512,38.6339730013656
290,300,313.75,-1.2508800832382,36.6114900210418
290,300,314.375,-1.2573917912858,34.7359521320052
290,300,315,-1.2631994107206,32.9919732647973
290,300,315.625,-1.26836722035444,31.3661845441991
290,300,316.25,-1.27294981340529,29.8469276706077
290,300,316.875,-1.27699366298937,28.4239987732255
