"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
300,290,335,-1.27896118903247,17.3527899162507
300,290,335.625,-1.27822653403898,16.6093416633031
300,290,336.25,-1.27715429807894,15.8977202612933
300,290,336.875,-1.27574039826878,15.2158592523761
300,290,337.5,-1.2739785715535,14.5618697724798
300,290,338.125,-1.27186029730476,13.9340224731263
300,290,338.75,-1.26937468412408,13.3307316572317
300,290,339.375,-1.2665083180548,12.7505413341651
300,290,340,-1.26324506829059,12.192112945147
300,290,340.625,-1.25956584519383,11.654214548681
300,290,341.25,-1.25544830394723,11.1357112884858
300,290,341.875,-1.2508664853887,10.6355569944635
300,290,342.5,-1.24579038343682,10.1527867915303
300,290,343.125,-1.24018542589826,9.68651061248528
300,290,343.75,-1.23401185222522,9.23590753020635
300,290,344.375,-1.22722396779269,8.80022084201913
300,290,345,-1.21976924928072,8.3787538557235
300,290,345.625,-1.21158726950801,7.9708663431495
300,290,346.25,-1.20260840223532,7.57597164397056
300,290,346.875,-1.19275225762694,7.19353442065406
300,290,347.5,-1.18192578672339,6.82306908587702
300,290,348.125,-1.17002097785314,6.46413894771804
300,290,348.75,-1.15691204875304,6.11635614704018
300,290,349.375,-1.14245201466436,5.77938249774621
300,290,350,-1.1264684844353,5.45293138665099
300,290,350.625,-1.10875850394693,5.1367709489362
300,290,351.25,-1.08908223071647,4.83072881168679
300,290,351.875,-1.06715519015249,4.5346987966959
300,290,352.5,-1.04263884366287,4.24865009948483
300,290,353.125,-1.01512921460717,3.97263961759736
300,290,353.75,-0.984143415271396,3.70682828522073
300,290,354.375,-0.949104182644341,3.4515024657419
300,290,355,-0.909323119975553,3.20710160794143
300,290,355.625,-0.863984529090686,2.97425336330108
300,290,356.25,-0.812133951265086,2.75381693057589
300,290,356.875,-0.7526794513789,2.54693402787798
300,290,357.5,-0.68441995802582,2.35508368475745
300,290,358.125,-0.606123626703322,2.18013062330895
300,290,358.75,-0.516687652484173,2.0243459006317
300,290,359.375,-0.415410367516266,1.8903628963494
300,290,360,-0.302378248594885,1.78101766883422
300,290,360.625,-0.178893130170404,1.69902761260126
300,290,361.25,-0.0477482199578722,1.64651273710263
300,290,361.875,0.0869025936213733,1.62446756273894
300,290,362.5,0.220204605338284,1.63239137979943
300,290,363.125,0.347583954323983,1.66826932837048
300,290,363.75,0.465596616655704,1.72892822311164
300,290,364.375,0.572295525838821,1.81059669784004
300,290,365,0.667105297498833,1.90944078746294
300,290,365.625,0.750431712583152,2.02193299545053
300,290,366.25,0.823241108880383,2.14503327755747
300,290,366.875,0.886734394204779,2.27623002096866
300,290,367.5,0.942140511675481,2.41350204677422
300,290,368.125,0.990606192003244,2.55524780988129
300,290,368.75,1.03314884517952,2.7002087407432
300,290,369.375,1.07064552269182,2.8473994177689
300,290,370,1.10384003548482,2.99604894711766
300,290,370.625,1.1333577319709,3.14555383890476
300,290,371.25,1.15972233345695,3.29544100723147
300,290,371.875,1.1833721152184,3.44533907128674
300,290,372.5,1.20467430556923,3.59495621276724
300,290,373.125,1.22393738707092,3.74406310861129
300,290,373.75,1.24142136738708,3.89247975277362
300,290,374.375,1.25734624471402,4.04006524560669
300,290,375,1.27189893712089,4.18670984680352
